Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"Coláiste an Phiarsaigh, Gleann Maghair, Cathair Chorcai",Cork,93,91,0.978494624,4,2,0,5,0,2,48,0,0,0,0,0,1,0,0,18,0,0,0,0,0,2,0,3,1,0,0,5,0,0,0
No,"Millstreet Community School, Millstreet Town, Co.Cork",Cork,33,32,0.96969697,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,18,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0
No,"Coláiste an Spioraid Naoimh, Bishopstown, Cork",Cork,95,92,0.968421053,0,0,0,2,0,0,60,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,"Coláiste an Chroi Naofa, Carraig na Bhfear, Corcaigh",Cork,66,62,0.939393939,1,1,1,1,0,0,14,0,0,0,0,0,1,0,1,36,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0
No,"Loreto Secondary School, Fermoy, Co Cork",Cork,98,92,0.93877551,4,0,2,5,2,1,42,0,0,0,0,0,0,0,0,14,0,0,0,2,0,3,0,3,6,0,0,8,0,0,0
No,"St Aloysius College, Carrigtwohill, Cork",Cork,108,101,0.935185185,5,1,1,0,2,2,56,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,1,4,0,0,5,0,1,0
No,"Gaelcholáiste Mhuire (A.G), An Mhainistir Thuaidh, Corcaigh",Cork,74,69,0.932432432,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
No,"Presentation Secondary School, Mitchelstown, Mallow, Co Cork",Cork,53,49,0.924528302,2,0,1,3,0,2,15,2,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,1,9,0,0,3,0,0,1
Yes,"Scoil Mhuire, 1/2/3 Sidney Place, Wellington Road, Cork City",Cork,66,61,0.924242424,1,2,0,1,0,5,47,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
No,"Coláiste Choilm, Ballincollig, Co. Cork",Cork,195,180,0.923076923,2,2,0,1,0,3,108,1,0,0,0,0,2,0,1,51,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0
No,"St Mary's Secondary School, Macroom, Co. Cork",Cork,63,58,0.920634921,0,0,0,8,0,1,29,2,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,2,2,0,0,3,0,0,0
No,"St Fachtna's High School, North Street, Skibbereen, Co. Cork",Cork,60,55,0.916666667,3,1,0,2,0,1,14,0,0,0,0,0,2,0,0,27,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
